[dotenv@17.3.1] injecting env (0) from .env -- tip: ⚙️  override existing env vars with { override: true }
Home Gateway listening on http://0.0.0.0:8080 (all interfaces)
(node:6662) [DEP0060] DeprecationWarning: The `util._extend` API is deprecated. Please use Object.assign() instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 43.519 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 45.246 ms
POST /__nextjs_original-stack-frames 200 - - 118.398 ms
GET / 200 - - 40.402 ms
GET /logo.png 304 - - 2.803 ms
GET /images/seafood/animation/Paella-cu-fructe-de-mare-2.jpg 304 - - 3.323 ms
GET /images/steak/animation/steak-and-wine.jpg 304 - - 4.837 ms
GET /images/tripadvisor2019certificate.png 304 - - 5.660 ms
GET /_next/static/chunks/services_service-acasa_app_globals_883f66e8.css 200 - - 6.475 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 8.189 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 18.183 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 21.062 ms
GET /_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 22.216 ms
GET /_next/static/chunks/services_service-acasa_a0ff3932._.js 200 783 - 6.468 ms
GET /_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 11.887 ms
GET /_next/static/chunks/turbopack-services_service-acasa_23a915ee._.js 200 - - 11.051 ms
GET /_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 6.177 ms
GET /_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 12.237 ms
GET /_next/static/chunks/services_service-acasa_src_5df6f245._.js 200 - - 7.089 ms
GET /_next/static/chunks/node_modules_next_dist_client_17643121._.js 200 - - 24.511 ms
GET /_next/static/chunks/node_modules_next_cd640352._.js 200 - - 7.192 ms
GET /_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 7.511 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js 200 - - 15.841 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js 200 - - 18.254 ms
GET /_next/static/chunks/services_service-acasa_app_layout_tsx_1cf6b850._.js 200 644 - 6.359 ms
GET /_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 7.158 ms
GET /_next/static/chunks/services_service-acasa_src_components_5341cc54._.js 200 - - 6.821 ms
GET /_next/static/chunks/services_service-acasa_app_page_tsx_ed969260._.js 200 323 - 4.060 ms
GET /_next/static/chunks/node_modules_703b6034._.js 200 - - 11.798 ms
GET /_next/static/chunks/node_modules_745e78bd._.js 200 - - 9.848 ms
GET /images/seafood/animation/homar-proaspat.jpg 304 - - 7.766 ms
GET /images/seafood/animation/seafood-mix-platou.jpg 304 - - 3.949 ms
GET /images/acasa/01/beef001.jpg 304 - - 4.130 ms
GET /images/acasa/01/steak002.jpg 304 - - 7.727 ms
GET /_next/static/chunks/node_modules_motion-dom_dist_es_bc6a3e4a._.js 200 - - 6.120 ms
GET /images/steak/animation/steak002.jpg 304 - - 16.642 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 16.411 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 17.240 ms
POST /__nextjs_original-stack-frames 200 - - 6.000 ms
GET /images/acasa/02/steak003.jpg 200 149133 - 6.217 ms
GET /images/acasa/02/seafood002.png 200 524074 - 4.808 ms
GET /images/acasa/02/steak002.jpg 200 151012 - 2.318 ms
GET /images/acasa/02/paella001.jpg 200 146776 - 2.243 ms
GET /images/acasa/04/001-meniuri-delicioase-platou-tomahawk.jpg 200 200359 - 5.546 ms
GET /images/acasa/04/002-rezervari.jpg 200 5601031 - 3.408 ms
GET /images/acasa/04/006-ne-place-sa-scriem-pe-blog.jpg 200 464679 - 2.302 ms
GET /images/acasa/04/007-contacteaza-ne.jpg 200 385313 - 2.109 ms
GET /images/acasa/04/005-sa-ne-cunoastem.jpg 200 439917 - 3.249 ms
GET /images/acasa/04/003-tot-noi-dar-in-imagini.jpg 200 794860 - 2.875 ms
GET /images/acasa/03/seafood001.jpg 200 669266 - 2.752 ms
GET /images/steak/animation/steak001.jpg 200 200359 - 25.259 ms
GET /meniu 200 - - 120.160 ms
GET /logo.png 304 - - 10.233 ms
GET /images/menu/starters_premium.png 304 - - 7.804 ms
GET /images/tripadvisor2019certificate.png 304 - - 8.102 ms
GET /meniu/_next/static/chunks/services_service-meniu_app_globals_2b504bef.css 200 - - 12.726 ms
GET /meniu/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 9.024 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 9.543 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 9.992 ms
GET /images/seafood/animation/seafood-mix-platou.jpg 304 - - 13.497 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 9.198 ms
GET /meniu/_next/static/chunks/services_service-meniu_a0ff3932._.js 200 783 - 10.836 ms
GET /meniu/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 22.424 ms
GET /meniu/_next/static/chunks/turbopack-services_service-meniu_1c2fcf62._.js 200 - - 10.193 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 5.304 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 8.301 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_client_17643121._.js 200 - - 9.973 ms
GET /meniu/_next/static/chunks/services_service-meniu_src_76261d0e._.js 200 - - 8.816 ms
GET /meniu/_next/static/chunks/node_modules_next_cd640352._.js 200 - - 11.210 ms
GET /meniu/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 11.918 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js 200 - - 10.349 ms
GET /meniu/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js 200 - - 8.318 ms
GET /meniu/_next/static/chunks/services_service-meniu_app_layout_tsx_1cf6b850._.js 200 644 - 7.939 ms
GET /meniu/_next/static/chunks/services_service-meniu_app_page_tsx_6da6a616._.js 200 240 - 9.235 ms
GET /meniu/_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 13.039 ms
GET /meniu/_next/static/chunks/_561909f3._.js 200 - - 9.652 ms
GET /meniu/_next/static/chunks/node_modules_745e78bd._.js 200 - - 6.371 ms
GET /meniu/_next/static/chunks/node_modules_motion-dom_dist_es_bc6a3e4a._.js 200 - - 9.636 ms
GET /meniu/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 2.535 ms
GET /meniu/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 3.282 ms
POST /__nextjs_original-stack-frames 200 - - 11.317 ms
GET /images/menu/pasta_premium.png 200 207664 - 5.419 ms
GET /images/menu/desert_premium.png 200 55359 - 3.806 ms
GET /images/steak/animation/steak002.jpg 304 - - 17.188 ms
GET /images/menu/bauturi/soda.png 200 68571 - 8.723 ms
GET /images/menu/bauturi/water.png 200 153910 - 7.852 ms
GET /images/menu/bauturi/coffee.png 200 1097231 - 8.522 ms
GET /images/menu/bauturi/whisky.png 200 143565 - 25.861 ms
GET /images/menu/bauturi/vodka.png 200 47159 - 28.674 ms
GET /images/menu/bauturi/cocktails.png 200 380470 - 10.145 ms
GET /images/menu/bauturi/cognac.png 200 29793 - 3.818 ms
GET /images/menu/bauturi/liqueur.png 200 153804 - 3.101 ms
GET /images/menu/bauturi/digestif.png 200 123149 - 3.549 ms
GET /images/gallery/MG_8127.jpg 200 1112565 - 3.645 ms
GET /images/menu/starters_premium.png 304 - - 2.743 ms
GET /evenimente 200 - - 1051.448 ms
GET /logo.png 304 - - 11.046 ms
GET /images/tripadvisor2019certificate.png 304 - - 11.158 ms
GET /evenimente/_next/static/chunks/services_service-evenimente_app_globals_7aa10471.css 200 - - 12.523 ms
GET /evenimente/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 10.382 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 18.607 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 15.304 ms
GET /images/events/wedding-venue.png 200 475981 - 20.724 ms
GET /evenimente/_next/static/chunks/services_service-evenimente_a0ff3932._.js 200 783 - 6.506 ms
GET /evenimente/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 15.998 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 13.431 ms
GET /images/events/wine-tasting.png 200 57753 - 6.823 ms
GET /images/events/corporate-dinner.png 200 418138 - 7.383 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_client_17643121._.js 200 - - 20.416 ms
GET /evenimente/_next/static/chunks/turbopack-services_service-evenimente_05d82a14._.js 200 - - 11.705 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 12.138 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 12.116 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js 200 - - 15.368 ms
GET /evenimente/_next/static/chunks/services_service-evenimente_src_33b630eb._.js 200 - - 9.970 ms
GET /evenimente/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js 200 - - 14.587 ms
GET /evenimente/_next/static/chunks/node_modules_next_cd640352._.js 200 - - 8.057 ms
GET /evenimente/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 6.932 ms
GET /evenimente/_next/static/chunks/services_service-evenimente_app_layout_tsx_1cf6b850._.js 200 654 - 5.124 ms
GET /evenimente/_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 8.590 ms
GET /evenimente/_next/static/chunks/node_modules_745e78bd._.js 200 - - 4.822 ms
GET /images/others/big/mese_private.jpg 200 115495 - 3.521 ms
GET /evenimente/_next/static/chunks/services_service-evenimente_app_page_tsx_09bf6305._.js 200 240 - 4.538 ms
GET /evenimente/_next/static/chunks/_452e1ac4._.js 200 - - 7.781 ms
GET /evenimente/_next/static/chunks/node_modules_motion-dom_dist_es_bc6a3e4a._.js 200 - - 6.611 ms
GET /evenimente/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 2.485 ms
GET /evenimente/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 3.516 ms
POST /__nextjs_original-stack-frames 200 - - 10.917 ms
GET /?XDEBUG_SESSION_START=phpstorm 200 - - 59.483 ms
GET / 200 - - 49.544 ms
GET /logo.png 200 25887 - 12.765 ms
GET /_next/static/chunks/services_service-acasa_app_globals_883f66e8.css 200 - - 11.289 ms
GET /images/steak/animation/steak-and-wine.jpg 200 214675 - 11.571 ms
GET /images/seafood/animation/homar-proaspat.jpg 200 385313 - 4.933 ms
GET /images/seafood/animation/Paella-cu-fructe-de-mare-2.jpg 200 510164 - 4.947 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 1.933 ms
GET /images/tripadvisor2019certificate.png 200 98968 - 4.144 ms
GET /_next/static/chunks/services_service-acasa_a0ff3932._.js 200 783 - 8.134 ms
GET /_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 12.579 ms
GET /_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 12.979 ms
GET /images/seafood/animation/seafood-mix-platou.jpg 200 190108 - 2.581 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 7.280 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 6.915 ms
GET /_next/static/chunks/turbopack-services_service-acasa_23a915ee._.js 200 - - 12.078 ms
GET /_next/static/chunks/services_service-acasa_app_layout_tsx_1cf6b850._.js 200 644 - 40.951 ms
GET /_next/static/chunks/services_service-acasa_app_page_tsx_ed969260._.js 200 323 - 43.986 ms
GET /_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 35.522 ms
GET /_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 10.250 ms
GET /_next/static/chunks/node_modules_703b6034._.js 200 - - 47.414 ms
GET /_next/static/chunks/services_service-acasa_src_5df6f245._.js 200 - - 34.883 ms
GET /_next/static/chunks/node_modules_next_cd640352._.js 200 - - 37.664 ms
GET /_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 41.036 ms
GET /_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 38.309 ms
GET /_next/static/chunks/services_service-acasa_src_components_5341cc54._.js 200 - - 48.108 ms
GET /_next/static/chunks/node_modules_745e78bd._.js 200 - - 44.595 ms
GET /_next/static/chunks/node_modules_motion-dom_dist_es_bc6a3e4a._.js 200 - - 32.722 ms
GET /_next/static/chunks/node_modules_next_dist_client_17643121._.js 200 - - 7.624 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js 200 - - 6.621 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js 200 - - 7.624 ms
GET /images/acasa/01/steak002.jpg 200 200359 - 13.279 ms
GET /images/acasa/01/beef001.jpg 200 538216 - 23.733 ms
GET /images/steak/animation/steak002.jpg 200 551804 - 20.457 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 2.331 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 2.895 ms
GET /favicon.ico 404 - - 118.715 ms
POST /__nextjs_original-stack-frames 200 - - 68.317 ms
GET /_next/webpack-hmr?id=3vw08JejXQ-7xkanlJOSE 404 - - 272.323 ms
GET /redbull.png 200 185272 - 82.451 ms
GET /_next/webpack-hmr?id=3vw08JejXQ-7xkanlJOSE 404 - - 33.876 ms
GET /_next/webpack-hmr?id=3vw08JejXQ-7xkanlJOSE 404 - - 37.733 ms
GET /_next/webpack-hmr?id=3vw08JejXQ-7xkanlJOSE 404 - - 43.189 ms
GET /_next/webpack-hmr?id=3vw08JejXQ-7xkanlJOSE 404 - - 41.761 ms
GET /_next/webpack-hmr?id=3vw08JejXQ-7xkanlJOSE 404 - - 37.151 ms
GET / 200 - - 40.026 ms
GET /logo.png 304 - - 3.238 ms
GET /images/seafood/animation/Paella-cu-fructe-de-mare-2.jpg 304 - - 2.903 ms
GET /images/seafood/animation/homar-proaspat.jpg 304 - - 4.583 ms
GET /images/steak/animation/steak-and-wine.jpg 304 - - 5.131 ms
GET /_next/static/chunks/services_service-acasa_app_globals_883f66e8.css 200 - - 8.120 ms
GET /images/seafood/animation/seafood-mix-platou.jpg 304 - - 2.674 ms
GET /images/tripadvisor2019certificate.png 304 - - 2.010 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 4.540 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 26.907 ms
GET /_next/static/chunks/services_service-acasa_a0ff3932._.js 200 783 - 16.144 ms
GET /_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 28.084 ms
GET /_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 16.853 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 37.394 ms
GET /_next/static/chunks/turbopack-services_service-acasa_23a915ee._.js 200 - - 20.385 ms
GET /_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 18.850 ms
GET /_next/static/chunks/services_service-acasa_app_layout_tsx_1cf6b850._.js 200 644 - 17.760 ms
GET /images/acasa/01/steak002.jpg 304 - - 7.325 ms
GET /_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 39.895 ms
GET /_next/static/chunks/services_service-acasa_src_5df6f245._.js 200 - - 19.598 ms
GET /images/steak/animation/steak002.jpg 304 - - 10.782 ms
GET /_next/static/chunks/services_service-acasa_app_page_tsx_ed969260._.js 200 323 - 12.033 ms
GET /_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 19.100 ms
GET /images/acasa/01/beef001.jpg 304 - - 11.263 ms
GET /_next/static/chunks/node_modules_703b6034._.js 200 - - 13.729 ms
GET /_next/static/chunks/node_modules_next_cd640352._.js 200 - - 21.058 ms
GET /_next/static/chunks/services_service-acasa_src_components_5341cc54._.js 200 - - 15.426 ms
GET /_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 23.464 ms
GET /_next/static/chunks/node_modules_745e78bd._.js 200 - - 23.272 ms
GET /_next/static/chunks/node_modules_next_dist_client_17643121._.js 200 - - 36.931 ms
GET /_next/static/chunks/node_modules_motion-dom_dist_es_bc6a3e4a._.js 200 - - 20.377 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js 200 - - 29.524 ms
GET /_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js 200 - - 26.382 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js 200 - - 2.411 ms
GET /_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js 200 288 - 1.853 ms
GET /_next/webpack-hmr?id=_qlfhFWhFqu46H0KaVy2K 404 - - 36.764 ms
POST /__nextjs_original-stack-frames 200 - - 7.281 ms
GET /_next/webpack-hmr?id=_qlfhFWhFqu46H0KaVy2K 404 - - 40.619 ms
GET /_next/webpack-hmr?id=_qlfhFWhFqu46H0KaVy2K 404 - - 37.311 ms
GET /_next/webpack-hmr?id=_qlfhFWhFqu46H0KaVy2K 404 - - 54.427 ms
GET /_next/webpack-hmr?id=_qlfhFWhFqu46H0KaVy2K 404 - - 35.457 ms
GET /_next/webpack-hmr?id=_qlfhFWhFqu46H0KaVy2K 404 - - 33.292 ms
GET /despre-noi 200 - - 84.519 ms
GET /logo.png 304 - - 4.768 ms
GET /images/tripadvisor2019certificate.png 304 - - 4.262 ms
GET /despre-noi/_next/static/chunks/services_service-despre-noi_app_globals_a03fe9d6.css 200 - - 7.616 ms
GET /despre-noi/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js 200 671 - 14.007 ms
GET /despre-noi/_next/static/chunks/services_service-despre-noi_a0ff3932._.js 200 783 - 16.634 ms
GET /despre-noi/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js 200 - - 21.543 ms
GET /despre-noi/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js 200 - - 16.345 ms
GET /despre-noi/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js 200 262 - 24.843 ms
GET /despre-noi/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js 200 - - 16.750 ms
GET /despre-noi/_next/static/chunks/turbopack-services_service-despre-noi_023aeb0c._.js 200 - - 32.764 ms
GET /despre-noi/_next/static/chunks/node_modules_next_dist_be32b49c._.js 200 - - 32.524 ms
GET /despre-noi/_next/static/chunks/node_modules_next_dist_f3530cac._.js 200 - - 18.502 ms
GET /despre-noi/_next/static/chunks/services_service-despre-noi_src_d9e6d7c6._.js 200 - - 32.772 ms
GET /despre-noi/_next/static/chunks/services_service-despre-noi_app_layout_tsx_1cf6b850._.js 200 654 - 49.726 ms
GET /despre-noi/_next/static/chunks/services_service-despre-noi_app_page_tsx_58c35da1._.js 200 282 - 53.398 ms
GET /despre-noi/_next/static/chunks/services_service-despre-noi_src_components_406fdd41._.js 200 - - 56.754 ms
GET /despre-noi/_next/static/chunks/node_modules_next_cd640352._.js 200 - - 36.974 ms
GET /despre-noi/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js 200 - - 40.701 ms
GET /images/desprenoi/interior-local001.jpg 200 489013 - 8.884 ms
GET /despre-noi/_next/static/chunks/node_modules_framer-motion_dist_es_afea34c2._.js 200 - - 57.805 ms
GET /despre-noi/_next/static/chunks/node_modules_745e78bd._.js 200 - - 60.216 ms
